url,status,title,description,word_count,local_path
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/225,200,Vol 43 (2026),,745,raw/afo/index.php/afo/issue/view/225.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/224,200,Vol 42 (2025),,956,raw/afo/index.php/afo/issue/view/224.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/223,200,Vol 41 (2024),,1080,raw/afo/index.php/afo/issue/view/223.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/222,200,Vol 40 (2023),,1117,raw/afo/index.php/afo/issue/view/222.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/221,200,Vol 39 (2022),,876,raw/afo/index.php/afo/issue/view/221.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/220,200,Vol 38 (2021),,1046,raw/afo/index.php/afo/issue/view/220.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/218,200,Vol 37 (2020),,989,raw/afo/index.php/afo/issue/view/218.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/217,200,Vol 36 (2019),,1054,raw/afo/index.php/afo/issue/view/217.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/216,200,Vol 35 (2018),,884,raw/afo/index.php/afo/issue/view/216.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/215,200,Vol 34 (2017),,935,raw/afo/index.php/afo/issue/view/215.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/210,200,Vol 33 (2016),,1449,raw/afo/index.php/afo/issue/view/210.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/3,200,"Vol 32, No 1 (2015)",,147,raw/afo/index.php/afo/issue/view/3.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/2,200,"Vol 32, No 2 (2015)",,160,raw/afo/index.php/afo/issue/view/2.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/61,200,"Vol 32, No 3 (2015)",,162,raw/afo/index.php/afo/issue/view/61.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/62,200,"Vol 32, No 4 (2015)",,197,raw/afo/index.php/afo/issue/view/62.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/4,200,"Vol 31, No 1 (2014)",,158,raw/afo/index.php/afo/issue/view/4.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/5,200,"Vol 31, No 2 (2014)",,125,raw/afo/index.php/afo/issue/view/5.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/1,200,"Vol 31, No 3 (2014)",,199,raw/afo/index.php/afo/issue/view/1.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/6,200,"Vol 31, No 4 (2014)",,124,raw/afo/index.php/afo/issue/view/6.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/97,200,Vol 31 (2014),,34,raw/afo/index.php/afo/issue/view/97.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/7,200,"Vol 30, No 1 (2013)",,220,raw/afo/index.php/afo/issue/view/7.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/8,200,"Vol 30, No 2 (2013)",,158,raw/afo/index.php/afo/issue/view/8.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/9,200,"Vol 30, No 3 (2013)",,183,raw/afo/index.php/afo/issue/view/9.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/11,200,"Vol 30, No 4 (2013)",,196,raw/afo/index.php/afo/issue/view/11.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/12,200,"Vol 29, No 1 (2012)",,217,raw/afo/index.php/afo/issue/view/12.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/13,200,"Vol 29, No 2 (2012)",,253,raw/afo/index.php/afo/issue/view/13.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/14,200,"Vol 29, No 3 (2012)",,160,raw/afo/index.php/afo/issue/view/14.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/15,200,"Vol 29, No 4 (2012)",,246,raw/afo/index.php/afo/issue/view/15.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/63,200,"Vol 28, No 1 (2011)",,251,raw/afo/index.php/afo/issue/view/63.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/64,200,"Vol 28, No 2 (2011)",,183,raw/afo/index.php/afo/issue/view/64.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/65,200,"Vol 28, No 3 (2011)",,217,raw/afo/index.php/afo/issue/view/65.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/66,200,"Vol 28, No 4 (2011)",,185,raw/afo/index.php/afo/issue/view/66.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/214,200,"Vol 28, No 4 (2011)",,30,raw/afo/index.php/afo/issue/view/214.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/67,200,"Vol 27, No 1 (2010)",,235,raw/afo/index.php/afo/issue/view/67.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/68,200,"Vol 27, No 2 (2010)",,226,raw/afo/index.php/afo/issue/view/68.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/69,200,"Vol 27, No 3 (2010)",,241,raw/afo/index.php/afo/issue/view/69.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/70,200,"Vol 27, No 4 (2010)",,267,raw/afo/index.php/afo/issue/view/70.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/71,200,"Vol 26, No 1-2 (2009)",,270,raw/afo/index.php/afo/issue/view/71.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/73,200,"Vol 26, No 3 (2009)",,171,raw/afo/index.php/afo/issue/view/73.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/74,200,"Vol 26, No 4 (2009)",,193,raw/afo/index.php/afo/issue/view/74.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/83,200,"Vol 25, No 1 (2008)",,296,raw/afo/index.php/afo/issue/view/83.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/84,200,"Vol 25, No 2 (2008)",,210,raw/afo/index.php/afo/issue/view/84.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/85,200,"Vol 25, No 3 (2008)",,292,raw/afo/index.php/afo/issue/view/85.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/86,200,"Vol 25, No 4 (2008)",,165,raw/afo/index.php/afo/issue/view/86.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/87,200,"Vol 24, No 1 (2007)",,177,raw/afo/index.php/afo/issue/view/87.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/88,200,"Vol 24, No 2 (2007)",,311,raw/afo/index.php/afo/issue/view/88.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/89,200,"Vol 24, No 3 (2007)",,151,raw/afo/index.php/afo/issue/view/89.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/90,200,"Vol 24, No 4 (2007)",,150,raw/afo/index.php/afo/issue/view/90.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/91,200,"Vol 23, No 1 (2006)",,312,raw/afo/index.php/afo/issue/view/91.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/93,200,"Vol 23, No 2 (2006)",,166,raw/afo/index.php/afo/issue/view/93.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/94,200,"Vol 23, No 3 (2006)",,206,raw/afo/index.php/afo/issue/view/94.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/95,200,"Vol 23, No 4 (2006)",,241,raw/afo/index.php/afo/issue/view/95.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/16,200,"Vol 22, No 1 (2005)",,256,raw/afo/index.php/afo/issue/view/16.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/17,200,"Vol 22, No 2 (2005)",,214,raw/afo/index.php/afo/issue/view/17.html
https://afo.birdlife.org.au/afo/index.php/afo/issue/view/18,200,"Vol 22, No 3 (2005)",,211,raw/afo/index.php/afo/issue/view/18.html
